주키 값,대표제목,대체제목,작성자,편찬자,발신자,주제,자료유형,식별자,발행자,발행일,생성일,갱신일,원자료 발행일,원자료 생성일,사건 발생일,초록,목차정보,파일형식,부분자료,의존자료,단위,파일경로,메타데이터센터명
"COMMT00424","다부동 369고지 유류품 : 탐침봉","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00424","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 탐침봉
● 제원 : 지름 10mm, 길이 650mm
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0424.jpg","WMK"
"COMMT00425","전단(傳單) : ""빨치산 및 인민군 귀순 자수 권유""","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00425","","20041018","20041110","20041004","","20041019","","● 영문 : Leaflet
● 시대 : 현대
● 유형 : 전단
● 제원 : 가로 길이 126~278mm, 세로 길이 123~200mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국 전쟁사 제3권","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0425.jpg","WMK"
"COMMT00426","다부동 369고지 유류품 : 노란색 플라스틱 빗","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00426","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 빗
● 제원 : 가로 길이 150mm, 세로 길이 20mm, 두께 5mm
● 재질 : 플라스틱
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0426.jpg","WMK"
"COMMT00427","다부동 369고지 유류품 : 거울","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00427","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 거울
● 제원 : 가로 길이 100mm, 세로 길이 80mm, 두께 3mm
● 재질 : 유리
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0427.jpg","WMK"
"COMMT00428","다부동 369고지 유류품 : 볼펜","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00428","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 필기구
● 제원 : 길이 145mm, 지름 5mm, 제작국 미국(추정)
● 재질 : 플라스틱
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0428.jpg","WMK"
"COMMT00429","다부동 369고지 유류품 : 플라스틱 뚜껑","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00429","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 뚜껑
● 제원 : 지름 80mm, 두께 5mm
● 재질 : 플라스틱
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0429.jpg","WMK"
"COMMT00430","다부동 369고지 유류품 : 티스푼","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00430","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 식기
● 제원 : 길이 140mm, 두께 1mm
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0430.jpg","WMK"
"COMMT00431","전단(傳單) : ""경남도민에 고함""","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00431","","20041018","20041110","20041004","","20041019","","● 영문 : Leaflet
● 시대 : 현대
● 유형 : 전단
● 제원 : 가로 길이 126~278mm, 세로 길이 123~200mm, 제작국 대한민국
● 재질 : 종이
● 참고문헌 : 한국 전쟁사 제3권","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0431.jpg","WMK"
"COMMT00432","다부동 369고지 유류품 : 숟가락","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00432","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 식기
● 제원 : 길이 200mm, 두께 3mm
● 재질 : 금속
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0432.jpg","WMK"
"COMMT00433","다부동 369고지 유류품 : 플라스틱 숟가락","","전쟁기념관","전쟁기념관","","WMKCOMMT","text","http://www.warmemo.co.kr/view.php?type=1%38pkey=COMMT00433","","20041018","20041110","20041004","","20041019","","● 시대 : 현대
● 유형 : 식기
● 제원 : 길이 150mm, 두께 2mm
● 재질 : 플라스틱
● 참고문헌 : 한국전쟁사 제1권, 6.25전사자 유해발굴보고서","","text/xml","","","2","http://opendata.mnd.go.kr/warhstr/warmemoimage/COMMT/0433.jpg","WMK"
